transform,n,acc,acc_and,auc,real_acc,fake_acc
clean,1200,0.8833,0.8975,0.9665,0.8000,0.9667
jpeg90,240,0.9708,0.9292,0.9997,1.0000,0.9417
jpeg70,240,0.9458,0.8458,0.9990,1.0000,0.8917
jpeg50,240,0.9208,0.8583,0.9972,1.0000,0.8417
jpeg30,240,0.9083,0.8375,0.9924,1.0000,0.8167
blur0.5,240,0.9958,0.9750,0.9990,0.9917,1.0000
blur1.0,240,0.9875,0.9750,0.9992,0.9750,1.0000
blur2.0,240,0.9125,0.8375,0.9815,0.9583,0.8667
resize0.5,240,0.9792,0.9500,0.9990,0.9917,0.9667
resize0.25,240,0.8708,0.8042,0.9890,0.9833,0.7583
noise0.02,240,0.9875,0.9458,0.9981,0.9833,0.9917
noise0.05,240,0.9667,0.9292,0.9990,1.0000,0.9333
noise0.10,240,0.9125,0.8125,0.9849,0.9667,0.8583
jitter,240,0.9708,0.9375,0.9991,0.9917,0.9500
crop80,240,0.9625,0.9125,0.9971,0.9917,0.9333
